Ranking,Jugador,Equipo,Total,Posicion
1,Miller Bolaños ,Xolos,9,Centrocampista
2,Jesús Angulo ,Necaxa,7,Centrocampista
2,Roger Martínez ,América,7,Delantero
2,Luis Mendoza ,Monarcas,7,Delantero
3,Víctor Malcorra ,Pumas,6,Centrocampista
3,Brian Lozano ,Santos Laguna,6,Centrocampista
3,Kevin Mercado ,Necaxa,6,Delantero
3,Navarro ,León FC,6,Defensa
3,Dorlan Pabón ,Rayados,6,Delantero
3,Jesús Gallardo ,Rayados,6,Centrocampista
4,Yoshimar Yotún ,Cruz Azul,5,Centrocampista
4,Rodrigo Millar ,Monarcas,5,Centrocampista
4,Luis Reyes ,Atlético San Luis,5,Defensa
4,Quiroga ,Necaxa,5,Delantero
4,Luis Quiñónes ,Tigres,5,Delantero
4,Luis Montes ,León FC,5,Centrocampista
4,Sambueza ,Pachuca,5,Centrocampista
5,Víctor Ismael Sosa ,León FC,4,Delantero
5,Escoboza ,Gallos Blancos,4,Centrocampista
5,Diego Valdés ,Santos Laguna,4,Centrocampista
