Ranking,Jugador,Equipo,Total,Posicion
1,Miller Bolaños ,Xolos,59,Centrocampista
2,Escoboza ,Gallos Blancos,52,Centrocampista
3,Luis Mendoza ,Monarcas,50,Delantero
4,Víctor Malcorra ,Pumas,49,Centrocampista
5,Ibarra,América,48,Centrocampista
6,Sambueza ,Pachuca,45,Centrocampista
7,Dorlan Pabón ,Rayados,43,Delantero
8,Omar Fernández ,Puebla,42,Delantero
9,Luis Montes ,León FC,38,Centrocampista
10,Diego Valdés ,Santos Laguna,37,Centrocampista
11,Brian Lozano ,Santos Laguna,36,Centrocampista
12,Yoshimar Yotún ,Cruz Azul,35,Centrocampista
13,Felipe Pardo ,Toluca,34,Delantero
14,Osvaldo Martínez ,Atlas,33,Centrocampista
15,Jesús Angulo ,Necaxa,32,Centrocampista
15,Jesús Gallardo ,Rayados,32,Centrocampista
16,Luis Quiñónes ,Tigres,30,Delantero
17,Erick Castillo ,Santos Laguna,29,Delantero
17,Edison Flores ,Monarcas,29,Centrocampista
18,Carlos Rodríguez ,Rayados,28,Centrocampista
