Ranking,Jugador,Equipo,Total,Posicion
1,Braghieri ,Xolos,3,Defensa
2,Maidana ,Toluca,1,Defensa
2,Paul Aguilar ,América,1,Defensa
2,Oscar Murillo ,Pachuca,1,Defensa
2,Gallegos ,Necaxa,1,Centrocampista
2,Luis Reyes ,Atlético San Luis,1,Defensa
2,Vidrio ,Puebla,1,Defensa
2,Mario de Luna ,Atlético San Luis,1,Defensa
2,Luis Quintana ,Pumas,1,Defensa
2,Hugo Ayala ,Tigres,1,Defensa
2,Nervo ,Atlas,1,Defensa
2,Carlos Rodríguez ,Rayados,1,Centrocampista
2,Isaac Mora ,Pachuca,1,Defensa
2,Jair Pereira ,Gallos Blancos,1,Defensa
2,César Montes ,Rayados,1,Defensa
2,Luis Romo ,Gallos Blancos,1,Defensa
2,Jorge Segura ,Atlas,1,Defensa
2,Omar Mendoza ,Xolos,1,Defensa
