Ranking,Jugador,Equipo,Total,Posicion
1,Guido Rodríguez ,América,183,Centrocampista
2,Quiroga ,Necaxa,182,Delantero
3,Carlos González ,Pumas,173,Delantero
4,Yairo Moreno ,León FC,169,Centrocampista
5,Fernando Gorriarán ,Santos Laguna,163,Centrocampista
6,Roger Martínez ,América,152,Delantero
7,Alan Mozo ,Pumas,139,Defensa
7,Ibarra,América,139,Centrocampista
8,Jesús Gallardo ,Rayados,138,Centrocampista
9,Brian Lozano ,Santos Laguna,130,Centrocampista
10,Celso Ortiz ,Rayados,129,Centrocampista
11,Nicolás Sánchez ,Rayados,127,Defensa
12,Maximiliano Meza ,Rayados,125,Centrocampista
13,Caraglio ,Cruz Azul,123,Delantero
14,Guido Pizarro ,Tigres,122,Centrocampista
15,Sebastián Vegas ,Monarcas,119,Defensa
16,Jesús Molina ,Chivas,115,Centrocampista
17,Henry Martin ,América,114,Delantero
17,Ricardo Chávez ,Necaxa,114,Defensa
17,William Tesillo ,León FC,114,Defensa
