Ranking,Jugador,Equipo,Total,Posicion
1,Roger Martínez ,América,168,Delantero
2,Quiroga ,Necaxa,158,Delantero
3,Carlos González ,Pumas,154,Delantero
4,Fernando Gorriarán ,Santos Laguna,151,Centrocampista
5,Aristeguieta ,Monarcas,145,Delantero
6,Erick Castillo ,Santos Laguna,138,Delantero
6,Julio César ,Santos Laguna,138,Delantero
7,Brian Lozano ,Santos Laguna,134,Centrocampista
8,Enner Valencia ,Tigres,131,Delantero
9,Víctor Guzmán ,Pachuca,130,Centrocampista
10,Juan Delgado ,Necaxa,129,Delantero
10,Darío Lezcano ,Bravos,129,Delantero
11,Felipe Pardo ,Toluca,128,Delantero
11,Guido Rodríguez ,América,128,Centrocampista
12,Aké Arnaud Loba ,Gallos Blancos,126,Delantero
13,Jaime Gómez ,Gallos Blancos,121,Centrocampista
14,Rodolfo Pizarro ,Rayados,119,Centrocampista
15,Lucas Cavallini ,Puebla,118,Delantero
15,Nahuelpan ,Xolos,118,Delantero
16,Henry Martin ,América,114,Delantero
