Ranking,Jugador,Equipo,Total,Posicion
1,Quiroga ,Necaxa,340,Delantero
2,Carlos González ,Pumas,327,Delantero
3,Roger Martínez ,América,320,Delantero
4,Fernando Gorriarán ,Santos Laguna,314,Centrocampista
5,Guido Rodríguez ,América,311,Centrocampista
6,Yairo Moreno ,León FC,265,Centrocampista
7,Brian Lozano ,Santos Laguna,264,Centrocampista
8,Alan Mozo ,Pumas,250,Defensa
8,Aristeguieta ,Monarcas,250,Delantero
9,Ibarra,América,249,Centrocampista
10,Enner Valencia ,Tigres,244,Delantero
10,Julio César ,Santos Laguna,244,Delantero
11,Juan Delgado ,Necaxa,242,Delantero
12,Víctor Guzmán ,Pachuca,239,Centrocampista
13,Celso Ortiz ,Rayados,236,Centrocampista
14,Erick Castillo ,Santos Laguna,234,Delantero
15,Lucas Cavallini ,Puebla,230,Delantero
15,Jesús Gallardo ,Rayados,230,Centrocampista
16,Maximiliano Meza ,Rayados,229,Centrocampista
16,Darío Lezcano ,Bravos,229,Delantero
