Ranking,Jugador,Equipo,Total,Posicion
1,Dorlan Pabón ,Rayados,48,Delantero
2,Escoboza ,Gallos Blancos,44,Centrocampista
3,Luis Mendoza ,Monarcas,43,Delantero
4,Víctor Malcorra ,Pumas,36,Centrocampista
4,Ibarra,América,36,Centrocampista
5,Juan Delgado ,Necaxa,31,Delantero
6,Omar Fernández ,Puebla,27,Delantero
7,Yoshimar Yotún ,Cruz Azul,25,Centrocampista
7,Brian Lozano ,Santos Laguna,25,Centrocampista
8,Alan Mozo ,Pumas,24,Defensa
8,Miller Bolaños ,Xolos,24,Centrocampista
9,Miguel Layún ,Rayados,23,Defensa
10,Richard Sánchez ,América,22,Centrocampista
10,Sambueza ,Pachuca,22,Centrocampista
11,Luis Reyes ,Atlético San Luis,20,Defensa
11,Kevin Mercado ,Necaxa,20,Delantero
12,Diego Valdés ,Santos Laguna,19,Centrocampista
12,Osvaldo Martínez ,Atlas,19,Centrocampista
12,Felipe Pardo ,Toluca,19,Delantero
13,Carlos Orrantia ,Santos Laguna,17,Defensa
