Ranking,Jugador,Equipo,Total,Posicion
1,Dorlan Pabón ,Rayados,160,Delantero
2,Víctor Malcorra ,Pumas,115,Centrocampista
3,Brian Lozano ,Santos Laguna,100,Centrocampista
4,Luis Mendoza ,Monarcas,97,Delantero
5,Ibarra,América,89,Centrocampista
6,Miguel Layún ,Rayados,80,Defensa
7,Luis Reyes ,Atlético San Luis,74,Defensa
8,Escoboza ,Gallos Blancos,73,Centrocampista
9,Matías Catalán ,Atlético San Luis,68,Defensa
10,Sambueza ,Pachuca,66,Centrocampista
11,Alan Mozo ,Pumas,64,Defensa
12,Miller Bolaños ,Xolos,63,Centrocampista
13,Juan Delgado ,Necaxa,57,Delantero
14,Jesus Isijara ,Atlas,48,Delantero
15,Ricardo Chávez ,Necaxa,47,Defensa
16,Osvaldo Martínez ,Atlas,45,Centrocampista
17,Diego Valdés ,Santos Laguna,43,Centrocampista
17,Jesús Gallardo ,Rayados,43,Centrocampista
18,Yoshimar Yotún ,Cruz Azul,42,Centrocampista
19,Mauro Lainez ,Xolos,41,Centrocampista
