Ranking,Jugador,Equipo,Total,Posicion
1,Dorlan Pabón ,Rayados,208,Delantero
2,Víctor Malcorra ,Pumas,151,Centrocampista
3,Luis Mendoza ,Monarcas,140,Delantero
4,Ibarra,América,125,Centrocampista
4,Brian Lozano ,Santos Laguna,125,Centrocampista
5,Escoboza ,Gallos Blancos,117,Centrocampista
6,Miguel Layún ,Rayados,103,Defensa
7,Luis Reyes ,Atlético San Luis,94,Defensa
8,Juan Delgado ,Necaxa,88,Delantero
8,Alan Mozo ,Pumas,88,Defensa
8,Sambueza ,Pachuca,88,Centrocampista
9,Miller Bolaños ,Xolos,87,Centrocampista
10,Matías Catalán ,Atlético San Luis,77,Defensa
11,Omar Fernández ,Puebla,68,Delantero
12,Yoshimar Yotún ,Cruz Azul,67,Centrocampista
13,Osvaldo Martínez ,Atlas,64,Centrocampista
14,Diego Valdés ,Santos Laguna,62,Centrocampista
14,Jesus Isijara ,Atlas,62,Delantero
15,Francisco Córdova ,América,57,Centrocampista
15,Ricardo Chávez ,Necaxa,57,Defensa
