Ranking,Jugador,Equipo,Total,Posicion
1,Gignac ,Tigres,30,Delantero
2,Alan Pulido ,Chivas,27,Delantero
3,Brian Lozano ,Santos Laguna,24,Centrocampista
3,Dorlan Pabón ,Rayados,24,Delantero
3,Nicolás Ibáñez ,Atlético San Luis,24,Delantero
4,José Macías ,León FC,23,Delantero
5,Rogelio Funes Mori ,Rayados,22,Delantero
6,Quiroga ,Necaxa,21,Delantero
6,Ángel Mena ,León FC,21,Centrocampista
6,Julio César ,Santos Laguna,21,Delantero
7,Erick Castillo ,Santos Laguna,20,Delantero
7,Franco Jara ,Pachuca,20,Delantero
7,Aristeguieta ,Monarcas,20,Delantero
8,Carlos González ,Pumas,19,Delantero
8,Víctor Guzmán ,Pachuca,19,Centrocampista
8,Jesús Gallardo ,Rayados,19,Centrocampista
9,Edison Flores ,Monarcas,18,Centrocampista
10,Maximiliano Salas ,Necaxa,17,Delantero
10,Henry Martin ,América,17,Delantero
11,Nahuelpan ,Xolos,16,Delantero
