Ranking,Jugador,Equipo,Total,Posicion
1,Iturbe ,Pumas,4,Delantero
1,Brian Lozano ,Santos Laguna,4,Centrocampista
1,Franco Jara ,Pachuca,4,Delantero
2,Federico Viñas ,América,3,Delantero
2,Miller Bolaños ,Xolos,3,Centrocampista
2,Jesús Angulo ,Necaxa,3,Centrocampista
2,César Montes ,Rayados,3,Defensa
2,Jesús Gallardo ,Rayados,3,Centrocampista
2,Gignac ,Tigres,3,Delantero
3,Juan Delgado ,Necaxa,2,Delantero
3,Jonathan Rodríguez ,Cruz Azul,2,Delantero
3,Aquino ,Tigres,2,Centrocampista
3,José Macías ,León FC,2,Delantero
3,Enner Valencia ,Tigres,2,Delantero
3,Gallegos ,Necaxa,2,Centrocampista
3,Unai Bilbao ,Atlético San Luis,2,Defensa
3,Miguel Layún ,Rayados,2,Defensa
3,Cabral ,Pachuca,2,Defensa
3,Adrian Lozano ,Santos Laguna,2,Centrocampista
3,Quiroga ,Necaxa,2,Delantero
