Ranking,Jugador,Equipo,Total,Posicion
1,Osvaldo Martínez ,Atlas,11,Centrocampista
2,Emanuel Aguilera ,América,10,Defensa
2,Miguel Layún ,Rayados,10,Defensa
2,Brian Lozano ,Santos Laguna,10,Centrocampista
3,Sebastián Vegas ,Monarcas,8,Defensa
4,Escoboza ,Gallos Blancos,7,Centrocampista
4,Sambueza ,Pachuca,7,Centrocampista
5,Diego Valdés ,Santos Laguna,6,Centrocampista
5,Víctor Malcorra ,Pumas,6,Centrocampista
5,Camilo Sanvezzo ,Xolos,6,Delantero
5,Miguel Ponce ,Chivas,6,Defensa
5,Jefferson Intriago ,Bravos,6,Centrocampista
5,Alan Pulido ,Chivas,6,Delantero
6,Lucas Zelarrayán ,Tigres,5,Centrocampista
6,Miller Bolaños ,Xolos,5,Centrocampista
6,Adrian Lozano ,Santos Laguna,5,Centrocampista
6,Luis Romo ,Gallos Blancos,5,Defensa
6,Dorlan Pabón ,Rayados,5,Delantero
6,Luis Montes ,León FC,5,Centrocampista
7,Castillo ,América,4,Delantero
