Ranking,Jugador,Equipo,Total,Posicion
1,Víctor Guzmán ,Pachuca,31,Centrocampista
2,Caraglio ,Cruz Azul,28,Delantero
2,Rogelio Funes Mori ,Rayados,28,Delantero
3,Quiroga ,Necaxa,27,Delantero
4,Brian Lozano ,Santos Laguna,26,Centrocampista
5,Nahuelpan ,Xolos,25,Delantero
5,Julio César ,Santos Laguna,25,Delantero
6,Lucas Cavallini ,Puebla,23,Delantero
6,Roger Martínez ,América,23,Delantero
6,Jesús Gallardo ,Rayados,23,Centrocampista
7,Iturbe ,Pumas,22,Delantero
7,Aristeguieta ,Monarcas,22,Delantero
8,Ayron Del Valle ,Gallos Blancos,21,Delantero
9,Osvaldo Martínez ,Atlas,20,Centrocampista
9,Bruno Valdez ,América,20,Defensa
9,Franco Jara ,Pachuca,20,Delantero
9,Gignac ,Tigres,20,Delantero
10,Diego Valdés ,Santos Laguna,19,Centrocampista
10,Dorlan Pabón ,Rayados,19,Delantero
11,José Macías ,León FC,18,Delantero
