Ranking,Jugador,Equipo,Total,Posicion
1,Ibarra,América,17,Centrocampista
2,Gignac ,Tigres,16,Delantero
3,Dorlan Pabón ,Rayados,15,Delantero
3,Ayron Del Valle ,Gallos Blancos,15,Delantero
4,Alan Pulido ,Chivas,14,Delantero
5,Jonathan Rodríguez ,Cruz Azul,13,Delantero
5,Víctor Malcorra ,Pumas,13,Centrocampista
5,Carlos González ,Pumas,13,Delantero
5,Guido Rodríguez ,América,13,Centrocampista
6,Miller Bolaños ,Xolos,12,Centrocampista
6,Jesús Angulo ,Necaxa,12,Centrocampista
6,Felipe Pardo ,Toluca,12,Delantero
6,Darío Lezcano ,Bravos,12,Delantero
6,Roger Martínez ,América,12,Delantero
6,Aristeguieta ,Monarcas,12,Delantero
6,Rogelio Funes Mori ,Rayados,12,Delantero
7,Alexis Canelo ,Toluca,11,Delantero
7,Iturbe ,Pumas,11,Delantero
7,Miguel Layún ,Rayados,11,Defensa
7,Jesús Gallardo ,Rayados,11,Centrocampista
