Ranking,Jugador,Equipo,Total,Posicion
1,Brian Lozano ,Santos Laguna,50,Centrocampista
1,Víctor Guzmán ,Pachuca,50,Centrocampista
1,Gignac ,Tigres,50,Delantero
1,Rogelio Funes Mori ,Rayados,50,Delantero
2,Quiroga ,Necaxa,48,Delantero
3,Julio César ,Santos Laguna,46,Delantero
4,Caraglio ,Cruz Azul,43,Delantero
4,Dorlan Pabón ,Rayados,43,Delantero
5,Jesús Gallardo ,Rayados,42,Centrocampista
5,Aristeguieta ,Monarcas,42,Delantero
5,Nicolás Ibáñez ,Atlético San Luis,42,Delantero
6,José Macías ,León FC,41,Delantero
6,Alan Pulido ,Chivas,41,Delantero
6,Nahuelpan ,Xolos,41,Delantero
7,Franco Jara ,Pachuca,40,Delantero
8,Roger Martínez ,América,37,Delantero
9,Lucas Cavallini ,Puebla,36,Delantero
10,Ayron Del Valle ,Gallos Blancos,35,Delantero
11,Osvaldo Martínez ,Atlas,33,Centrocampista
11,Iturbe ,Pumas,33,Delantero
