Ranking,Jugador,Equipo,Total,Posicion
1,Quiroga ,Necaxa,158,Delantero
2,Carlos González ,Pumas,110,Delantero
3,Caraglio ,Cruz Azul,92,Delantero
4,Pablo Aguilar ,Cruz Azul,84,Defensa
5,Nicolás Sánchez ,Rayados,76,Defensa
6,Lucas Cavallini ,Puebla,71,Delantero
7,Julio César ,Santos Laguna,69,Delantero
8,Aristeguieta ,Monarcas,65,Delantero
9,Nahuelpan ,Xolos,61,Delantero
10,Víctor Velázquez ,Bravos,59,Defensa
11,Facundo Barceló ,Atlas,58,Delantero
12,Rogelio Funes Mori ,Rayados,57,Delantero
13,César Montes ,Rayados,55,Defensa
14,Rodrigo Noya ,Necaxa,54,Defensa
14,Nervo ,Atlas,54,Defensa
14,Meza ,Necaxa,54,Defensa
15,Jesús Molina ,Chivas,53,Centrocampista
15,Hugo Rodríguez ,Santos Laguna,53,Defensa
16,Henry Martin ,América,52,Delantero
16,Sebastián Vegas ,Monarcas,52,Defensa
