Ranking,Jugador,Equipo,Total,Posicion
1,Guido Rodríguez ,América,149,Centrocampista
2,Fernando Gorriarán ,Santos Laguna,144,Centrocampista
2,Yairo Moreno ,León FC,144,Centrocampista
3,Ibarra,América,131,Centrocampista
3,Roger Martínez ,América,131,Delantero
4,Brian Lozano ,Santos Laguna,121,Centrocampista
5,Alan Mozo ,Pumas,119,Defensa
6,Isaac Brizuela ,Chivas,109,Centrocampista
7,Sambueza ,Pachuca,103,Centrocampista
8,Juan Delgado ,Necaxa,102,Delantero
8,Celso Ortiz ,Rayados,102,Centrocampista
9,Maximiliano Meza ,Rayados,99,Centrocampista
10,Luis Montes ,León FC,98,Centrocampista
11,Claudio Baeza ,Necaxa,97,Centrocampista
11,Daniel Villalva ,Veracruz,97,Delantero
11,Rodolfo Pizarro ,Rayados,97,Centrocampista
12,Jesús Gallardo ,Rayados,96,Centrocampista
13,Gerardo Daniel Arteaga Zamora ,Santos Laguna,92,Defensa
14,Luis Rodríguez ,Tigres,91,Centrocampista
14,Roberto Alvarado ,Cruz Azul,91,Centrocampista
