Ranking,Jugador,Equipo,Total,Posicion
1,Quiroga ,Necaxa,99,Delantero
2,Julio César ,Santos Laguna,92,Delantero
3,Carlos González ,Pumas,90,Delantero
4,Facundo Barceló ,Atlas,72,Delantero
5,Aristeguieta ,Monarcas,69,Delantero
6,Rogelio Funes Mori ,Rayados,60,Delantero
7,Caraglio ,Cruz Azul,59,Delantero
7,Henry Martin ,América,59,Delantero
8,Lucas Cavallini ,Puebla,58,Delantero
9,Nicolás Ibáñez ,Atlético San Luis,53,Delantero
10,Nahuelpan ,Xolos,50,Delantero
11,Sebastián Vegas ,Monarcas,48,Defensa
12,Bruno Valdez ,América,47,Defensa
12,Cabral ,Pachuca,47,Defensa
12,Nicolás Sánchez ,Rayados,47,Defensa
13,Víctor Guzmán ,Pachuca,46,Centrocampista
14,Enner Valencia ,Tigres,43,Delantero
14,Oscar Murillo ,Pachuca,43,Defensa
14,Nervo ,Atlas,43,Defensa
14,Darío Lezcano ,Bravos,43,Delantero
