Ranking,Jugador,Equipo,Total,Posicion
1,Roger Martínez ,América,140,Delantero
2,Fernando Gorriarán ,Santos Laguna,128,Centrocampista
3,Brian Lozano ,Santos Laguna,122,Centrocampista
4,Felipe Pardo ,Toluca,113,Delantero
5,Rodolfo Pizarro ,Rayados,111,Centrocampista
6,Juan Delgado ,Necaxa,109,Delantero
7,Jaime Gómez ,Gallos Blancos,103,Centrocampista
8,Erick Castillo ,Santos Laguna,101,Delantero
9,Ibarra,América,99,Centrocampista
10,Sambueza ,Pachuca,97,Centrocampista
11,Claudio Baeza ,Necaxa,96,Centrocampista
11,Alan Mozo ,Pumas,96,Defensa
12,Maximiliano Salas ,Necaxa,94,Delantero
13,Edison Flores ,Monarcas,93,Centrocampista
14,Aké Arnaud Loba ,Gallos Blancos,91,Delantero
14,Miller Bolaños ,Xolos,91,Centrocampista
14,Guido Rodríguez ,América,91,Centrocampista
15,Jean Meneses ,León FC,90,Centrocampista
15,Luis Quiñónes ,Tigres,90,Delantero
16,Luis Rodríguez ,Tigres,89,Centrocampista
