Ranking,Jugador,Equipo,Total,Posicion
1,Quiroga ,Necaxa,257,Delantero
2,Carlos González ,Pumas,200,Delantero
3,Julio César ,Santos Laguna,161,Delantero
4,Caraglio ,Cruz Azul,151,Delantero
5,Aristeguieta ,Monarcas,134,Delantero
6,Facundo Barceló ,Atlas,130,Delantero
7,Lucas Cavallini ,Puebla,129,Delantero
8,Pablo Aguilar ,Cruz Azul,126,Defensa
9,Nicolás Sánchez ,Rayados,123,Defensa
10,Rogelio Funes Mori ,Rayados,117,Delantero
11,Henry Martin ,América,111,Delantero
11,Nahuelpan ,Xolos,111,Delantero
12,Sebastián Vegas ,Monarcas,100,Defensa
13,Nervo ,Atlas,97,Defensa
14,César Montes ,Rayados,94,Defensa
15,Oscar Murillo ,Pachuca,93,Defensa
16,Doria ,Santos Laguna,91,Defensa
17,Víctor Velázquez ,Bravos,90,Defensa
17,Bruno Valdez ,América,90,Defensa
18,Hugo Rodríguez ,Santos Laguna,87,Defensa
