Ranking,Jugador,Equipo,Total,Posicion
1,Fernando Gorriarán ,Santos Laguna,272,Centrocampista
2,Roger Martínez ,América,271,Delantero
3,Brian Lozano ,Santos Laguna,243,Centrocampista
4,Guido Rodríguez ,América,240,Centrocampista
5,Ibarra,América,230,Centrocampista
6,Yairo Moreno ,León FC,223,Centrocampista
7,Alan Mozo ,Pumas,215,Defensa
8,Juan Delgado ,Necaxa,211,Delantero
9,Rodolfo Pizarro ,Rayados,208,Centrocampista
10,Sambueza ,Pachuca,200,Centrocampista
11,Claudio Baeza ,Necaxa,193,Centrocampista
12,Isaac Brizuela ,Chivas,191,Centrocampista
12,Felipe Pardo ,Toluca,191,Delantero
13,Celso Ortiz ,Rayados,188,Centrocampista
14,Jaime Gómez ,Gallos Blancos,181,Centrocampista
15,Luis Rodríguez ,Tigres,180,Centrocampista
16,Maximiliano Meza ,Rayados,177,Centrocampista
17,Daniel Villalva ,Veracruz,175,Delantero
17,Erick Castillo ,Santos Laguna,175,Delantero
17,Roberto Alvarado ,Cruz Azul,175,Centrocampista
