Ranking,Jugador,Equipo,Total,Posicion
1,Jesús Gallardo ,Rayados,30,Centrocampista
2,Guido Rodríguez ,América,29,Centrocampista
3,Celso Ortiz ,Rayados,24,Centrocampista
4,Yairo Moreno ,León FC,23,Centrocampista
4,Ricardo Chávez ,Necaxa,23,Defensa
5,Erick Aguirre ,Pachuca,22,Centrocampista
6,Luis Romo ,Gallos Blancos,20,Defensa
7,Vidrio ,Puebla,19,Defensa
7,Sambueza ,Pachuca,19,Centrocampista
8,Aldo Rocha ,Monarcas,18,Centrocampista
8,Gerardo Daniel Arteaga Zamora ,Santos Laguna,18,Defensa
9,Rodrigo Noya ,Necaxa,17,Defensa
9,Alberto Acosta ,Bravos,17,Defensa
10,Jorge Sánchez ,América,16,Defensa
10,Sebastián Vegas ,Monarcas,16,Defensa
10,Jaime Gómez ,Gallos Blancos,16,Centrocampista
11,Cristian Calderón ,Necaxa,15,Defensa
11,Israel Jiménez ,Bravos,15,Defensa
11,Brian Lozano ,Santos Laguna,15,Centrocampista
11,Nicolás Sánchez ,Rayados,15,Defensa
