Ranking,Jugador,Equipo,Total,Posicion
1,Celso Ortiz ,Rayados,49,Centrocampista
1,Alan Mozo ,Pumas,49,Defensa
2,Ricardo Chávez ,Necaxa,46,Defensa
3,Guido Rodríguez ,América,40,Centrocampista
4,Fernando Gorriarán ,Santos Laguna,37,Centrocampista
4,William Tesillo ,León FC,37,Defensa
5,Hugo Ayala ,Tigres,34,Defensa
6,Claudio Baeza ,Necaxa,33,Centrocampista
6,Jaime Gómez ,Gallos Blancos,33,Centrocampista
7,Víctor Guzmán ,Pachuca,31,Centrocampista
8,Andrés Iniestra ,Pumas,30,Centrocampista
8,Jesús Gallardo ,Rayados,30,Centrocampista
9,Erick Aguirre ,Pachuca,29,Centrocampista
9,Luis Rodríguez ,Tigres,29,Centrocampista
10,Aldo Rocha ,Monarcas,28,Centrocampista
10,Jesús Sánchez ,Chivas,28,Centrocampista
10,José J. Martínez ,Monarcas,28,Defensa
10,Navarro ,León FC,28,Defensa
10,Vidrio ,Puebla,28,Defensa
10,Yairo Moreno ,León FC,28,Centrocampista
