Ranking,Jugador,Equipo,Total,Posicion
1,Aldo Rocha ,Monarcas,34,Centrocampista
2,Fernando Gorriarán ,Santos Laguna,31,Centrocampista
3,Jorge Hernández ,Pachuca,28,Centrocampista
4,Ricardo Chávez ,Necaxa,27,Defensa
5,José J. Martínez ,Monarcas,26,Defensa
5,Guido Rodríguez ,América,26,Centrocampista
6,Kevin Balanta ,Xolos,25,Centrocampista
7,Claudio Baeza ,Necaxa,24,Centrocampista
7,Jaime Gómez ,Gallos Blancos,24,Centrocampista
8,Mario Osuna ,Monarcas,23,Centrocampista
8,Celso Ortiz ,Rayados,23,Centrocampista
8,Stefan Medina ,Rayados,23,Defensa
9,Aké Arnaud Loba ,Gallos Blancos,22,Delantero
9,Pablo Aguilar ,Cruz Azul,22,Defensa
10,Víctor Guzmán ,Pachuca,21,Centrocampista
10,Sambueza ,Pachuca,21,Centrocampista
11,William ,Toluca,20,Centrocampista
11,Jesús Gallardo ,Rayados,20,Centrocampista
12,Yoshimar Yotún ,Cruz Azul,19,Centrocampista
13,Israel Jiménez ,Bravos,18,Defensa
