Ranking,Jugador,Equipo,Total,Posicion
1,Celso Ortiz ,Rayados,73,Centrocampista
2,Ricardo Chávez ,Necaxa,69,Defensa
2,Guido Rodríguez ,América,69,Centrocampista
3,Alan Mozo ,Pumas,62,Defensa
4,Jesús Gallardo ,Rayados,60,Centrocampista
5,Fernando Gorriarán ,Santos Laguna,51,Centrocampista
5,Erick Aguirre ,Pachuca,51,Centrocampista
5,Yairo Moreno ,León FC,51,Centrocampista
5,William Tesillo ,León FC,51,Defensa
6,Jaime Gómez ,Gallos Blancos,49,Centrocampista
7,Luis Romo ,Gallos Blancos,48,Defensa
8,Vidrio ,Puebla,47,Defensa
9,Aldo Rocha ,Monarcas,46,Centrocampista
9,Hugo Ayala ,Tigres,46,Defensa
10,Claudio Baeza ,Necaxa,44,Centrocampista
11,Alberto Acosta ,Bravos,43,Defensa
12,Andrés Iniestra ,Pumas,42,Centrocampista
13,Stefan Medina ,Rayados,40,Defensa
13,Jesús Sánchez ,Chivas,40,Centrocampista
13,Luis Rodríguez ,Tigres,40,Centrocampista
