Ranking,Jugador,Equipo,Total,Posicion
1,Aldo Rocha ,Monarcas,48,Centrocampista
2,Fernando Gorriarán ,Santos Laguna,44,Centrocampista
3,Quiroga ,Necaxa,42,Delantero
4,Maximiliano Salas ,Necaxa,41,Delantero
4,Jorge Hernández ,Pachuca,41,Centrocampista
4,Ricardo Chávez ,Necaxa,41,Defensa
5,Aké Arnaud Loba ,Gallos Blancos,37,Delantero
5,Nahuelpan ,Xolos,37,Delantero
5,Guido Rodríguez ,América,37,Centrocampista
5,Darío Lezcano ,Bravos,37,Delantero
6,Jesús Molina ,Chivas,36,Centrocampista
7,Claudio Baeza ,Necaxa,35,Centrocampista
7,Luis Rodríguez ,Tigres,35,Centrocampista
8,Mario Osuna ,Monarcas,34,Centrocampista
8,Stefan Medina ,Rayados,34,Defensa
8,Jaime Gómez ,Gallos Blancos,34,Centrocampista
8,Efraín Velarde ,Monarcas,34,Defensa
9,Gabriel Achilier ,Monarcas,33,Defensa
9,Pablo Aguilar ,Cruz Azul,33,Defensa
9,Jesús Gallardo ,Rayados,33,Centrocampista
