Ranking,Jugador,Equipo,Total,Posicion
1,Carlos Rodríguez ,Rayados,6,Centrocampista
1,Roger Martínez ,América,6,Delantero
2,Osvaldo Martínez ,Atlas,5,Centrocampista
2,Vincent Janssen ,Rayados,5,Delantero
2,Lucas Cavallini ,Puebla,5,Delantero
3,Aldo Rocha ,Monarcas,4,Centrocampista
3,Henry Martin ,América,4,Delantero
3,Yairo Moreno ,León FC,4,Centrocampista
4,Víctor Ismael Sosa ,León FC,3,Delantero
4,Jonathan Rodríguez ,Cruz Azul,3,Delantero
4,Gerardo Daniel Arteaga Zamora ,Santos Laguna,3,Defensa
4,Ibarra,América,3,Centrocampista
4,Jeison Angulo ,Pumas,3,Defensa
4,Aké Arnaud Loba ,Gallos Blancos,3,Delantero
4,Bruno Valdez ,América,3,Defensa
4,Edgar Méndez ,Cruz Azul,3,Centrocampista
4,Gallegos ,Necaxa,3,Centrocampista
4,Maximiliano Meza ,Rayados,3,Centrocampista
4,Miguel Ponce ,Chivas,3,Defensa
4,Andrés Mosquera ,León FC,3,Defensa
