Ranking,Jugador,Equipo,Total,Posicion
1,Fernando Gorriarán ,Santos Laguna,63,Centrocampista
2,Ibarra,América,59,Centrocampista
3,Guido Rodríguez ,América,57,Centrocampista
4,Roger Martínez ,América,48,Delantero
5,Isaac Brizuela ,Chivas,47,Centrocampista
6,Darío Lezcano ,Bravos,43,Delantero
7,Daniel Villalva ,Veracruz,42,Delantero
7,Maximiliano Meza ,Rayados,42,Centrocampista
7,Brian Lozano ,Santos Laguna,42,Centrocampista
7,Ángel Mena ,León FC,42,Centrocampista
7,Sambueza ,Pachuca,42,Centrocampista
8,Miller Bolaños ,Xolos,41,Centrocampista
8,Alan Pulido ,Chivas,41,Delantero
9,Juan Delgado ,Necaxa,40,Delantero
9,Luis Montes ,León FC,40,Centrocampista
10,Carlos González ,Pumas,39,Delantero
11,Alexis Canelo ,Toluca,38,Delantero
11,Rodolfo Pizarro ,Rayados,38,Centrocampista
12,Juan Vigon ,Pumas,37,Centrocampista
12,Iturbe ,Pumas,37,Delantero
