Ranking,Jugador,Equipo,Total,Posicion
1,Rogelio Funes Mori ,Rayados,25,Delantero
2,Quiroga ,Necaxa,21,Delantero
3,Gignac ,Tigres,18,Delantero
4,Camilo Sanvezzo ,Xolos,13,Delantero
4,Nicolás Ibáñez ,Atlético San Luis,13,Delantero
5,Franco Jara ,Pachuca,12,Delantero
6,Darío Lezcano ,Bravos,10,Delantero
7,Erick Castillo ,Santos Laguna,9,Delantero
7,Aké Arnaud Loba ,Gallos Blancos,9,Delantero
7,Caraglio ,Cruz Azul,9,Delantero
7,Miller Bolaños ,Xolos,9,Centrocampista
7,Ayron Del Valle ,Gallos Blancos,9,Delantero
8,Omar Fernández ,Puebla,8,Delantero
8,Facundo Barceló ,Atlas,8,Delantero
9,Edgar Méndez ,Cruz Azul,7,Centrocampista
9,Vincent Janssen ,Rayados,7,Delantero
9,Carlos González ,Pumas,7,Delantero
9,Alan Pulido ,Chivas,7,Delantero
9,Ángel Mena ,León FC,7,Centrocampista
9,Julio César ,Santos Laguna,7,Delantero
