Ranking,Jugador,Equipo,Total,Posicion
1,Brian Lozano ,Santos Laguna,9,Centrocampista
2,Gignac ,Tigres,8,Delantero
2,Julio César ,Santos Laguna,8,Delantero
3,Víctor Ismael Sosa ,León FC,7,Delantero
3,Jonathan Rodríguez ,Cruz Azul,7,Delantero
3,Alan Pulido ,Chivas,7,Delantero
3,Rogelio Funes Mori ,Rayados,7,Delantero
4,José Macías ,León FC,6,Delantero
4,Henry Martin ,América,6,Delantero
4,Franco Jara ,Pachuca,6,Delantero
5,Carlos González ,Pumas,5,Delantero
6,Diego Valdés ,Santos Laguna,4,Centrocampista
6,Lucas Zelarrayán ,Tigres,4,Centrocampista
6,Aké Arnaud Loba ,Gallos Blancos,4,Delantero
6,Aristeguieta ,Monarcas,4,Delantero
7,Aldo Rocha ,Monarcas,3,Centrocampista
7,Erick Castillo ,Santos Laguna,3,Delantero
7,Castillo ,América,3,Delantero
7,Jordan Sierra ,Gallos Blancos,3,Centrocampista
7,Ibarra,América,3,Centrocampista
