Ranking,Jugador,Equipo,Total,Posicion
1,Maximiliano Salas ,Necaxa,6,Delantero
1,Edison Flores ,Monarcas,6,Centrocampista
2,Ángel Mena ,León FC,5,Centrocampista
3,Cristian Calderón ,Necaxa,4,Defensa
3,Javier López ,Chivas,4,Centrocampista
3,Alan Pulido ,Chivas,4,Delantero
4,José Macías ,León FC,3,Delantero
4,Gallegos ,Necaxa,3,Centrocampista
4,Yairo Moreno ,León FC,3,Centrocampista
4,Vincent Janssen ,Rayados,3,Delantero
4,Lucas Cavallini ,Puebla,3,Delantero
4,Jean Meneses ,León FC,3,Centrocampista
4,Darío Lezcano ,Bravos,3,Delantero
5,Escoboza ,Gallos Blancos,2,Centrocampista
5,Federico Viñas ,América,2,Delantero
5,Romário Ibarra ,Pachuca,2,Centrocampista
5,Francisco Córdova ,América,2,Centrocampista
5,Aquino ,Tigres,2,Centrocampista
5,Aké Arnaud Loba ,Gallos Blancos,2,Delantero
5,Leonardo Ramos ,León FC,2,Delantero
