Ranking,Jugador,Equipo,Total,Posicion
1,Quiroga ,Necaxa,9,Delantero
2,Nicolás Ibáñez ,Atlético San Luis,6,Delantero
3,Rogelio Funes Mori ,Rayados,5,Delantero
4,Caraglio ,Cruz Azul,4,Delantero
4,Pablo Aguilar ,Cruz Azul,4,Defensa
4,Nicolás Sánchez ,Rayados,4,Defensa
4,Gignac ,Tigres,4,Delantero
5,Federico Viñas ,América,2,Delantero
5,Jesus Isijara ,Atlas,2,Delantero
5,Maidana ,Toluca,2,Defensa
5,Gigliotti ,Toluca,2,Delantero
5,Angel Sepúlveda ,Xolos,2,Delantero
5,Miguel Sansores ,Monarcas,2,Delantero
5,Jair Pereira ,Gallos Blancos,2,Defensa
5,Nahuelpan ,Xolos,2,Delantero
5,Ángel Mena ,León FC,2,Centrocampista
5,Facundo Barceló ,Atlas,2,Delantero
6,Rodrigo Noya ,Necaxa,1,Defensa
6,Gastón Lezcano ,Monarcas,1,Centrocampista
6,Julio Dominguez ,Cruz Azul,1,Defensa
