Ranking,Jugador,Equipo,Total,Posicion
1,José Macías ,León FC,5,Delantero
2,Franco Jara ,Pachuca,4,Delantero
2,Alan Pulido ,Chivas,4,Delantero
3,Julio César ,Santos Laguna,3,Delantero
4,Mario Osuna ,Monarcas,2,Centrocampista
4,Emanuel Aguilera ,América,2,Defensa
4,Jordan Sierra ,Gallos Blancos,2,Centrocampista
4,Osvaldo Martínez ,Atlas,2,Centrocampista
4,Alanis ,Chivas,2,Defensa
4,Diego Rolán ,Bravos,2,Delantero
4,Leonel Miranda ,Xolos,2,Centrocampista
4,Nicolás Sánchez ,Rayados,2,Defensa
4,Bryan Carrasco ,Veracruz,2,Centrocampista
4,Gignac ,Tigres,2,Delantero
5,Aldo Rocha ,Monarcas,1,Centrocampista
5,Yoshimar Yotún ,Cruz Azul,1,Centrocampista
5,Castillo ,América,1,Delantero
5,Christian Marrugo ,Puebla,1,Centrocampista
5,Jeison Lucumí ,Gallos Blancos,1,Delantero
5,Leonardo Ramos ,León FC,1,Delantero
