Ranking,Jugador,Equipo,Total,Posicion
1,Quiroga ,Necaxa,13,Delantero
1,Rogelio Funes Mori ,Rayados,13,Delantero
2,Alan Pulido ,Chivas,11,Delantero
2,Gignac ,Tigres,11,Delantero
3,Julio César ,Santos Laguna,10,Delantero
4,José Macías ,León FC,9,Delantero
4,Nicolás Ibáñez ,Atlético San Luis,9,Delantero
5,Víctor Ismael Sosa ,León FC,8,Delantero
6,Henry Martin ,América,7,Delantero
6,Franco Jara ,Pachuca,7,Delantero
6,Nicolás Sánchez ,Rayados,7,Defensa
6,Carlos González ,Pumas,7,Delantero
7,Jonathan Rodríguez ,Cruz Azul,6,Delantero
7,Brian Lozano ,Santos Laguna,6,Centrocampista
7,Nahuelpan ,Xolos,6,Delantero
7,Aristeguieta ,Monarcas,6,Delantero
7,Ángel Mena ,León FC,6,Centrocampista
8,Federico Viñas ,América,5,Delantero
8,Cristian Calderón ,Necaxa,5,Defensa
8,Aké Arnaud Loba ,Gallos Blancos,5,Delantero
