Ranking,Jugador,Equipo,Total,Posicion
1,Brian Lozano ,Santos Laguna,4,Centrocampista
2,Maximiliano Salas ,Necaxa,3,Delantero
2,Gallegos ,Necaxa,3,Centrocampista
2,Darío Lezcano ,Bravos,3,Delantero
2,Edison Flores ,Monarcas,3,Centrocampista
3,Escoboza ,Gallos Blancos,2,Centrocampista
3,Diego Valdés ,Santos Laguna,2,Centrocampista
3,Ibarra,América,2,Centrocampista
3,Javier López ,Chivas,2,Centrocampista
3,Jorge Hernández ,Pachuca,2,Centrocampista
3,Iturbe ,Pumas,2,Delantero
3,William ,Toluca,2,Centrocampista
3,Jesús Angulo ,Necaxa,2,Centrocampista
3,Víctor Guzmán ,Pachuca,2,Centrocampista
3,Richard Sánchez ,América,2,Centrocampista
3,Dorlan Pabón ,Rayados,2,Delantero
3,Guido Rodríguez ,América,2,Centrocampista
3,Fabian Castillo ,Gallos Blancos,2,Centrocampista
3,Ángel Mena ,León FC,2,Centrocampista
4,Cándido Ramírez ,Monarcas,1,Centrocampista
