Ranking,Jugador,Equipo,Total,Posicion
1,Lajud ,Xolos,8,Portero
1,Julián Velázquez ,Xolos,8,Defensa
1,Leonel Miranda ,Xolos,8,Centrocampista
2,Kevin Balanta ,Xolos,7,Centrocampista
2,Miller Bolaños ,Xolos,7,Centrocampista
3,Gerardo Daniel Arteaga Zamora ,Santos Laguna,6,Defensa
3,Isaac Brizuela ,Chivas,6,Centrocampista
3,Jesús Molina ,Chivas,6,Centrocampista
3,Braghieri ,Xolos,6,Defensa
3,Doria ,Santos Laguna,6,Defensa
3,Brian Lozano ,Santos Laguna,6,Centrocampista
3,Navarro ,León FC,6,Defensa
3,Alan Pulido ,Chivas,6,Delantero
3,Hugo Rodríguez ,Santos Laguna,6,Defensa
3,Ignacio Rivero ,Xolos,6,Centrocampista
3,Luis Montes ,León FC,6,Centrocampista
3,Jonathan Orozco ,Santos Laguna,6,Portero
3,Julio César ,Santos Laguna,6,Delantero
4,Fernando Gorriarán ,Santos Laguna,5,Centrocampista
4,Mauro Lainez ,Xolos,5,Centrocampista
