Ranking,Jugador,Equipo,Total,Posicion
1,Sebastián Jurado ,Veracruz,32,Portero
2,Lajud ,Xolos,29,Portero
2,Julián Velázquez ,Xolos,29,Defensa
3,Emanuel Aguilera ,América,28,Defensa
4,Aldo Rocha ,Monarcas,27,Centrocampista
4,Paul Aguilar ,América,27,Defensa
4,Jesús Paganoni ,Veracruz,27,Defensa
4,Sebastián Vegas ,Monarcas,27,Defensa
5,Matías Catalán ,Atlético San Luis,26,Defensa
5,Ochoa ,América,26,Portero
5,Braghieri ,Xolos,26,Defensa
5,Leonel Miranda ,Xolos,26,Centrocampista
5,Guido Rodríguez ,América,26,Centrocampista
5,Efraín Velarde ,Monarcas,26,Defensa
6,Nicolás Vikonis ,Puebla,25,Portero
6,Gerardo Daniel Arteaga Zamora ,Santos Laguna,25,Defensa
6,Leobardo López ,Veracruz,25,Defensa
6,Sebastián Sosa ,Monarcas,25,Portero
6,Jesús Molina ,Chivas,25,Centrocampista
6,Bruno Valdez ,América,25,Defensa
