Ranking,Jugador,Equipo,Total,Posicion
1,Sebastián Jurado ,Veracruz,13,Portero
2,Daniel Villalva ,Veracruz,12,Delantero
2,Sebas Rodríguez ,Veracruz,12,Centrocampista
3,Carlos Salcido ,Veracruz,10,Defensa
3,Carlos Gutiérrez ,Veracruz,10,Defensa
3,Leobardo López ,Veracruz,10,Defensa
3,Jesús Paganoni ,Veracruz,10,Defensa
4,Abraham ,Veracruz,9,Centrocampista
5,Julio Dominguez ,Cruz Azul,8,Defensa
5,Corona ,Cruz Azul,8,Portero
5,Pablo Aguilar ,Cruz Azul,8,Defensa
5,Bryan Carrasco ,Veracruz,8,Centrocampista
5,Peñalba ,Veracruz,8,Centrocampista
6,Lajud ,Xolos,7,Portero
6,Julián Velázquez ,Xolos,7,Defensa
6,Miller Bolaños ,Xolos,7,Centrocampista
6,Diego Chavez ,Veracruz,7,Centrocampista
6,Leonel Miranda ,Xolos,7,Centrocampista
6,Lampros Kotogiannis ,Veracruz,7,Defensa
7,Escoboza ,Gallos Blancos,6,Centrocampista
