Ranking,Jugador,Equipo,Total,Posicion
1,Sebastián Jurado ,Veracruz,45,Portero
2,Jesús Paganoni ,Veracruz,37,Defensa
3,Lajud ,Xolos,36,Portero
3,Julián Velázquez ,Xolos,36,Defensa
4,Leobardo López ,Veracruz,35,Defensa
5,Carlos Salcido ,Veracruz,34,Defensa
5,Carlos Gutiérrez ,Veracruz,34,Defensa
6,Daniel Villalva ,Veracruz,33,Delantero
6,Leonel Miranda ,Xolos,33,Centrocampista
7,Braghieri ,Xolos,32,Defensa
8,Aldo Rocha ,Monarcas,31,Centrocampista
8,Nicolás Vikonis ,Puebla,31,Portero
8,Gerardo Daniel Arteaga Zamora ,Santos Laguna,31,Defensa
8,Matías Catalán ,Atlético San Luis,31,Defensa
8,Miller Bolaños ,Xolos,31,Centrocampista
8,Vidrio ,Puebla,31,Defensa
8,Bryan Carrasco ,Veracruz,31,Centrocampista
8,Sebas Rodríguez ,Veracruz,31,Centrocampista
9,Marcelo Barovero ,Rayados,30,Portero
9,Emanuel Aguilera ,América,30,Defensa
