Ranking,Jugador,Equipo,Total,Posicion
1,Quiroga ,Necaxa,13,Delantero
1,Rogelio Funes Mori ,Rayados,13,Delantero
2,Alan Pulido ,Chivas,12,Delantero
2,Gignac ,Tigres,12,Delantero
3,Brian Lozano ,Santos Laguna,10,Centrocampista
3,Julio César ,Santos Laguna,10,Delantero
4,José Macías ,León FC,9,Delantero
4,Nicolás Ibáñez ,Atlético San Luis,9,Delantero
5,Víctor Ismael Sosa ,León FC,8,Delantero
5,Henry Martin ,América,8,Delantero
5,Franco Jara ,Pachuca,8,Delantero
5,Ángel Mena ,León FC,8,Centrocampista
6,Jonathan Rodríguez ,Cruz Azul,7,Delantero
6,Maximiliano Salas ,Necaxa,7,Delantero
6,Nicolás Sánchez ,Rayados,7,Defensa
6,Carlos González ,Pumas,7,Delantero
6,Edison Flores ,Monarcas,7,Centrocampista
7,Diego Valdés ,Santos Laguna,6,Centrocampista
7,Aké Arnaud Loba ,Gallos Blancos,6,Delantero
7,Víctor Guzmán ,Pachuca,6,Centrocampista
