Ranking,Jugador,Equipo,Total,Posicion
1,Nicolás Sánchez ,Rayados,52,Defensa
2,Víctor Velázquez ,Bravos,43,Defensa
2,Emanuel Aguilera ,América,43,Defensa
2,Julián Velázquez ,Xolos,43,Defensa
3,Bruno Valdez ,América,40,Defensa
4,Guido Rodríguez ,América,39,Centrocampista
5,Gerardo Daniel Arteaga Zamora ,Santos Laguna,36,Defensa
6,Jorge Sánchez ,América,35,Defensa
7,Celso Ortiz ,Rayados,34,Centrocampista
7,Hugo Ayala ,Tigres,34,Defensa
7,Pablo Aguilar ,Cruz Azul,34,Defensa
7,William Tesillo ,León FC,34,Defensa
8,Oscar Murillo ,Pachuca,33,Defensa
8,Vidrio ,Puebla,33,Defensa
8,Pablo Gonzalez ,Puebla,33,Centrocampista
9,Sebastián Vegas ,Monarcas,32,Defensa
9,Hugo Rodríguez ,Santos Laguna,32,Defensa
10,Nicolás Freire ,Pumas,31,Defensa
10,Cabral ,Pachuca,31,Defensa
11,Meza ,Necaxa,30,Defensa
