Ranking,Jugador,Equipo,Total,Posicion
1,Guido Pizarro ,Tigres,1469,Centrocampista
2,Rafael Carioca ,Tigres,1445,Centrocampista
3,Yairo Moreno ,León FC,1377,Centrocampista
4,Jesús Gallardo ,Rayados,1354,Centrocampista
5,Celso Ortiz ,Rayados,1296,Centrocampista
5,Navarro ,León FC,1296,Defensa
6,Escoboza ,Gallos Blancos,1263,Centrocampista
6,William Tesillo ,León FC,1263,Defensa
7,Aldo Rocha ,Monarcas,1257,Centrocampista
7,Hugo Ayala ,Tigres,1257,Defensa
8,Luis Rodríguez ,Tigres,1255,Centrocampista
9,Stefan Medina ,Rayados,1239,Defensa
10,Nicolás Sánchez ,Rayados,1233,Defensa
11,Paul Aguilar ,América,1223,Defensa
12,Guido Rodríguez ,América,1187,Centrocampista
13,Alan Mozo ,Pumas,1178,Defensa
14,Sambueza ,Pachuca,1173,Centrocampista
15,Gerardo Daniel Arteaga Zamora ,Santos Laguna,1156,Defensa
16,Claudio Baeza ,Necaxa,1154,Centrocampista
17,Fernando Gorriarán ,Santos Laguna,1127,Centrocampista
