Ranking,Jugador,Equipo,Total,Posicion
1,Marcelo Barovero ,Rayados,2190,Portero
2,Nicolás Sánchez ,Rayados,2159,Defensa
3,Paul Aguilar ,América,2098,Defensa
4,Celso Ortiz ,Rayados,2066,Centrocampista
5,Emanuel Aguilera ,América,2044,Defensa
6,Jesús Gallardo ,Rayados,2024,Centrocampista
7,Stefan Medina ,Rayados,2000,Defensa
8,Hugo González ,Necaxa,1980,Portero
9,Guido Rodríguez ,América,1918,Centrocampista
10,Bruno Valdez ,América,1908,Defensa
11,Sebastián Sosa ,Monarcas,1890,Portero
12,Sebastián Vegas ,Monarcas,1878,Defensa
13,Aldo Rocha ,Monarcas,1853,Centrocampista
14,Quiroga ,Necaxa,1849,Delantero
15,Gerardo Daniel Arteaga Zamora ,Santos Laguna,1800,Defensa
15,Gil Alcalá ,Gallos Blancos,1800,Portero
15,Guido Pizarro ,Tigres,1800,Centrocampista
16,Gignac ,Tigres,1793,Delantero
17,Escoboza ,Gallos Blancos,1792,Centrocampista
18,Jesús Angulo ,Necaxa,1785,Centrocampista
