Ranking,Jugador,Equipo,Total,Posicion
1,Hugo González ,Necaxa,79,Portero
2,Marcelo Barovero ,Rayados,72,Portero
3,Edmundo Vázquez ,Bravos,70,Portero
4,Talavera ,Toluca,65,Portero
5,Gil Alcalá ,Gallos Blancos,64,Portero
6,Sebastián Jurado ,Veracruz,63,Portero
7,Rodolfo Cota ,León FC,62,Portero
7,Camilo Vargas ,Atlas,62,Portero
8,Sebastián Sosa ,Monarcas,60,Portero
9,Jonathan Orozco ,Santos Laguna,56,Portero
10,Carlos Rodriguez ,Atlético San Luis,53,Portero
11,Rodrigo Rey ,Pachuca,48,Portero
12,Lajud ,Xolos,46,Portero
12,Nicolás Vikonis ,Puebla,46,Portero
12,Toño Rodríguez ,Chivas,46,Portero
12,Guzmán ,Tigres,46,Portero
13,Ochoa ,América,41,Portero
14,Corona ,Cruz Azul,37,Portero
15,Alfredo Saldívar ,Pumas,34,Portero
16,Marchesín ,América,7,Portero
