Ranking,Jugador,Equipo,Total,Posicion
1,Hugo González ,Necaxa,8,Portero
2,Escoboza ,Gallos Blancos,7,Centrocampista
2,Bruno Valdez ,América,7,Defensa
2,Meza ,Necaxa,7,Defensa
2,Luis Romo ,Gallos Blancos,7,Defensa
2,Ricardo Chávez ,Necaxa,7,Defensa
2,Gil Alcalá ,Gallos Blancos,7,Portero
3,Marcelo Barovero ,Rayados,6,Portero
3,Víctor Velázquez ,Bravos,6,Defensa
3,Stefan Medina ,Rayados,6,Defensa
3,Paul Aguilar ,América,6,Defensa
3,Hugo Ayala ,Tigres,6,Defensa
3,Rafael Carioca ,Tigres,6,Centrocampista
3,Edmundo Vázquez ,Bravos,6,Portero
3,Jesús Angulo ,Necaxa,6,Centrocampista
3,Jesús Gallardo ,Rayados,6,Centrocampista
3,Ventura Alvarado ,Necaxa,6,Defensa
3,Gignac ,Tigres,6,Delantero
3,Guzmán ,Tigres,6,Portero
3,Guido Pizarro ,Tigres,6,Centrocampista
