Ranking,Jugador,Equipo,Total,Posicion
1,Marcelo Barovero ,Rayados,24,Portero
1,Nicolás Sánchez ,Rayados,24,Defensa
1,Jesús Gallardo ,Rayados,24,Centrocampista
2,Celso Ortiz ,Rayados,23,Centrocampista
2,Emanuel Aguilera ,América,23,Defensa
2,Paul Aguilar ,América,23,Defensa
2,Carlos Rodríguez ,Rayados,23,Centrocampista
2,Dorlan Pabón ,Rayados,23,Delantero
2,Roger Martínez ,América,23,Delantero
3,Stefan Medina ,Rayados,22,Defensa
3,Maximiliano Meza ,Rayados,22,Centrocampista
3,Hugo González ,Necaxa,22,Portero
3,Quiroga ,Necaxa,22,Delantero
3,Ricardo Chávez ,Necaxa,22,Defensa
3,Guido Rodríguez ,América,22,Centrocampista
3,Luis Mendoza ,Monarcas,22,Delantero
4,Aldo Rocha ,Monarcas,21,Centrocampista
4,Maximiliano Salas ,Necaxa,21,Delantero
4,Ibarra,América,21,Centrocampista
4,Sebastián Sosa ,Monarcas,21,Portero
