Ranking,Jugador,Equipo,Total,Posicion
1,Marcelo Barovero ,Rayados,24,Portero
1,Nicolás Sánchez ,Rayados,24,Defensa
2,Celso Ortiz ,Rayados,23,Centrocampista
2,Emanuel Aguilera ,América,23,Defensa
2,Paul Aguilar ,América,23,Defensa
2,Jesús Gallardo ,Rayados,23,Centrocampista
3,Stefan Medina ,Rayados,22,Defensa
3,Hugo González ,Necaxa,22,Portero
3,Quiroga ,Necaxa,22,Delantero
3,Guido Rodríguez ,América,22,Centrocampista
4,Aldo Rocha ,Monarcas,21,Centrocampista
4,Sebastián Sosa ,Monarcas,21,Portero
4,Bruno Valdez ,América,21,Defensa
4,Sebastián Vegas ,Monarcas,21,Defensa
5,Escoboza ,Gallos Blancos,20,Centrocampista
5,Gerardo Daniel Arteaga Zamora ,Santos Laguna,20,Defensa
5,Claudio Baeza ,Necaxa,20,Centrocampista
5,Erick Castillo ,Santos Laguna,20,Delantero
5,José Macías ,León FC,20,Delantero
5,Ibarra,América,20,Centrocampista
