Ranking,Jugador,Equipo,Total,Posicion
1,Rafael Carioca ,Tigres,575,Centrocampista
2,Aldo Rocha ,Monarcas,486,Centrocampista
3,Sambueza ,Pachuca,484,Centrocampista
4,Guido Pizarro ,Tigres,483,Centrocampista
5,Navarro ,León FC,475,Defensa
6,Carlos Rodríguez ,Rayados,465,Centrocampista
7,Aboagye ,Gallos Blancos,462,Centrocampista
8,Miller Bolaños ,Xolos,458,Centrocampista
8,Leonel Miranda ,Xolos,458,Centrocampista
9,Luis Montes ,León FC,437,Centrocampista
10,Jesús Gallardo ,Rayados,432,Centrocampista
11,Claudio Baeza ,Necaxa,424,Centrocampista
12,Celso Ortiz ,Rayados,423,Centrocampista
13,Luis Mendoza ,Monarcas,418,Delantero
14,Escoboza ,Gallos Blancos,408,Centrocampista
15,Yoshimar Yotún ,Cruz Azul,405,Centrocampista
16,Ángel Mena ,León FC,404,Centrocampista
17,Yairo Moreno ,León FC,402,Centrocampista
18,Luis Rodríguez ,Tigres,396,Centrocampista
18,Jorge Hernández ,Pachuca,396,Centrocampista
