Ranking,Jugador,Equipo,Total,Posicion
1,Guido Pizarro ,Tigres,1115,Centrocampista
2,Rafael Carioca ,Tigres,1101,Centrocampista
3,Hugo Ayala ,Tigres,910,Defensa
4,Aldo Rocha ,Monarcas,864,Centrocampista
5,Celso Ortiz ,Rayados,862,Centrocampista
6,William Tesillo ,León FC,818,Defensa
7,Navarro ,León FC,806,Defensa
8,Carlos Salcedo ,Tigres,759,Defensa
9,Nicolás Sánchez ,Rayados,756,Defensa
10,Aboagye ,Gallos Blancos,755,Centrocampista
11,Leonel Miranda ,Xolos,746,Centrocampista
12,Stefan Medina ,Rayados,727,Defensa
13,Yairo Moreno ,León FC,725,Centrocampista
14,Jorge Hernández ,Pachuca,720,Centrocampista
15,Carlos Rodríguez ,Rayados,716,Centrocampista
16,Claudio Baeza ,Necaxa,714,Centrocampista
17,Luis Rodríguez ,Tigres,705,Centrocampista
18,Luis Romo ,Gallos Blancos,698,Defensa
19,Lorenzo Reyes ,Atlas,695,Centrocampista
20,Escoboza ,Gallos Blancos,681,Centrocampista
