Ranking,Jugador,Equipo,Total,Posicion
1,Dorlan Pabón ,Rayados,273,Delantero
2,Luis Mendoza ,Monarcas,221,Delantero
3,Víctor Malcorra ,Pumas,212,Centrocampista
4,Osvaldo Martínez ,Atlas,207,Centrocampista
5,Escoboza ,Gallos Blancos,198,Centrocampista
6,Brian Lozano ,Santos Laguna,195,Centrocampista
6,Jesús Gallardo ,Rayados,195,Centrocampista
7,Miller Bolaños ,Xolos,191,Centrocampista
8,Ibarra,América,190,Centrocampista
9,Nicolás Vikonis ,Puebla,189,Portero
10,Sambueza ,Pachuca,187,Centrocampista
11,Edmundo Vázquez ,Bravos,182,Portero
12,Matías Catalán ,Atlético San Luis,178,Defensa
13,Camilo Vargas ,Atlas,172,Portero
14,Luis Reyes ,Atlético San Luis,171,Defensa
15,Hugo González ,Necaxa,170,Portero
16,Alan Mozo ,Pumas,168,Defensa
17,Miguel Layún ,Rayados,165,Defensa
18,Ricardo Chávez ,Necaxa,162,Defensa
19,Sebastián Jurado ,Veracruz,161,Portero
