Ranking,Jugador,Equipo,Total,Posicion
1,William Tesillo ,León FC,72,Defensa
2,Nicolás Sánchez ,Rayados,71,Defensa
3,Doria ,Santos Laguna,65,Defensa
4,Meza ,Necaxa,59,Defensa
5,Ricardo Chávez ,Necaxa,58,Defensa
6,Guzmán ,Tigres,56,Portero
7,Sebastián Vegas ,Monarcas,55,Defensa
8,Celso Ortiz ,Rayados,53,Centrocampista
9,Hugo Rodríguez ,Santos Laguna,50,Defensa
10,Víctor Velázquez ,Bravos,48,Defensa
10,Cristian Calderón ,Necaxa,48,Defensa
11,Carlos Orrantia ,Santos Laguna,47,Defensa
11,Julián Velázquez ,Xolos,47,Defensa
11,Paul Aguilar ,América,47,Defensa
11,Jesús Gallardo ,Rayados,47,Centrocampista
12,Emanuel Aguilera ,América,46,Defensa
13,Stefan Medina ,Rayados,45,Defensa
13,Luis Romo ,Gallos Blancos,45,Defensa
13,Guido Pizarro ,Tigres,45,Centrocampista
14,Aldo Rocha ,Monarcas,44,Centrocampista
