Ranking,Jugador,Equipo,Total,Posicion
1,Nicolás Vikonis ,Puebla,214,Portero
2,Nicolás Sánchez ,Rayados,206,Defensa
3,Edmundo Vázquez ,Bravos,205,Portero
4,Camilo Vargas ,Atlas,200,Portero
5,Jesús Gallardo ,Rayados,199,Centrocampista
6,Osvaldo Martínez ,Atlas,195,Centrocampista
7,Sebastián Jurado ,Veracruz,185,Portero
8,Hugo González ,Necaxa,180,Portero
9,Paul Aguilar ,América,177,Defensa
10,Ricardo Chávez ,Necaxa,173,Defensa
11,Ochoa ,América,172,Portero
12,Guzmán ,Tigres,171,Portero
13,Pablo Aguilar ,Cruz Azul,170,Defensa
14,Marcelo Barovero ,Rayados,169,Portero
15,Lajud ,Xolos,168,Portero
15,Quiroga ,Necaxa,168,Delantero
16,Stefan Medina ,Rayados,167,Defensa
17,Sebastián Sosa ,Monarcas,162,Portero
18,Rodrigo Rey ,Pachuca,161,Portero
19,William Tesillo ,León FC,159,Defensa
