Ranking,Jugador,Equipo,Total,Posicion
1,Nicolás Vikonis ,Puebla,192,Portero
2,Hugo González ,Necaxa,177,Portero
3,Ochoa ,América,149,Portero
4,Edmundo Vázquez ,Bravos,145,Portero
5,Camilo Vargas ,Atlas,144,Portero
5,Guzmán ,Tigres,144,Portero
6,Jonathan Orozco ,Santos Laguna,134,Portero
7,Sebastián Sosa ,Monarcas,133,Portero
8,Marcelo Barovero ,Rayados,128,Portero
8,Corona ,Cruz Azul,128,Portero
9,Carlos Rodriguez ,Atlético San Luis,125,Portero
9,Alfredo Saldívar ,Pumas,125,Portero
10,Gil Alcalá ,Gallos Blancos,118,Portero
11,Rodrigo Rey ,Pachuca,112,Portero
12,Carlos Salcedo ,Tigres,104,Defensa
13,Lajud ,Xolos,103,Portero
14,Sebastián Jurado ,Veracruz,98,Portero
15,Rafael Carioca ,Tigres,94,Centrocampista
16,Hugo Ayala ,Tigres,91,Defensa
16,Pablo Aguilar ,Cruz Azul,91,Defensa
