Ranking,Jugador,Equipo,Total,Posicion
1,Nicolás Vikonis ,Puebla,210,Portero
2,Edmundo Vázquez ,Bravos,203,Portero
3,Camilo Vargas ,Atlas,198,Portero
4,Sebastián Jurado ,Veracruz,182,Portero
5,Hugo González ,Necaxa,178,Portero
6,Ochoa ,América,171,Portero
7,Marcelo Barovero ,Rayados,169,Portero
8,Lajud ,Xolos,166,Portero
9,Guzmán ,Tigres,160,Portero
10,Rodrigo Rey ,Pachuca,156,Portero
11,Sebastián Sosa ,Monarcas,155,Portero
12,Jonathan Orozco ,Santos Laguna,149,Portero
13,Carlos Rodriguez ,Atlético San Luis,129,Portero
14,Rodolfo Cota ,León FC,124,Portero
15,Talavera ,Toluca,123,Portero
16,Gil Alcalá ,Gallos Blancos,122,Portero
17,Toño Rodríguez ,Chivas,111,Portero
18,Corona ,Cruz Azul,104,Portero
19,Nicolás Sánchez ,Rayados,102,Defensa
20,Alfredo Saldívar ,Pumas,98,Portero
