Ranking,Jugador,Equipo,Total,Posicion
1,Nicolás Vikonis ,Puebla,402,Portero
2,Hugo González ,Necaxa,355,Portero
3,Edmundo Vázquez ,Bravos,348,Portero
4,Camilo Vargas ,Atlas,342,Portero
5,Ochoa ,América,320,Portero
6,Guzmán ,Tigres,304,Portero
7,Marcelo Barovero ,Rayados,297,Portero
8,Sebastián Sosa ,Monarcas,288,Portero
9,Jonathan Orozco ,Santos Laguna,283,Portero
10,Sebastián Jurado ,Veracruz,280,Portero
11,Lajud ,Xolos,269,Portero
12,Rodrigo Rey ,Pachuca,268,Portero
13,Carlos Rodriguez ,Atlético San Luis,254,Portero
14,Gil Alcalá ,Gallos Blancos,240,Portero
15,Corona ,Cruz Azul,232,Portero
16,Alfredo Saldívar ,Pumas,223,Portero
17,Rodolfo Cota ,León FC,205,Portero
18,Talavera ,Toluca,195,Portero
19,Nicolás Sánchez ,Rayados,180,Defensa
20,Pablo Aguilar ,Cruz Azul,177,Defensa
