Ranking,Jugador,Equipo,Total,Posicion
1,Rafael Carioca ,Tigres,680,Centrocampista
2,Sambueza ,Pachuca,671,Centrocampista
3,Miller Bolaños ,Xolos,649,Centrocampista
4,Luis Mendoza ,Monarcas,639,Delantero
5,Jesús Gallardo ,Rayados,627,Centrocampista
6,Escoboza ,Gallos Blancos,606,Centrocampista
7,Leonel Miranda ,Xolos,594,Centrocampista
8,Osvaldo Martínez ,Atlas,591,Centrocampista
9,Navarro ,León FC,588,Defensa
10,Carlos Rodríguez ,Rayados,581,Centrocampista
11,Aldo Rocha ,Monarcas,580,Centrocampista
12,Dorlan Pabón ,Rayados,577,Delantero
13,Luis Montes ,León FC,571,Centrocampista
14,Ibarra,América,543,Centrocampista
15,Aboagye ,Gallos Blancos,537,Centrocampista
15,Guido Pizarro ,Tigres,537,Centrocampista
16,Yoshimar Yotún ,Cruz Azul,536,Centrocampista
17,Claudio Baeza ,Necaxa,535,Centrocampista
18,Víctor Malcorra ,Pumas,523,Centrocampista
19,Celso Ortiz ,Rayados,521,Centrocampista
