Ranking,Jugador,Equipo,Total,Posicion
1,Hugo Ayala ,Tigres,681,Defensa
2,Guido Pizarro ,Tigres,677,Centrocampista
3,William Tesillo ,León FC,594,Defensa
4,Nicolás Sánchez ,Rayados,565,Defensa
5,Rafael Carioca ,Tigres,561,Centrocampista
6,Carlos Salcedo ,Tigres,518,Defensa
7,Celso Ortiz ,Rayados,493,Centrocampista
8,Guzmán ,Tigres,450,Portero
9,Nervo ,Atlas,448,Defensa
10,Julián Velázquez ,Xolos,446,Defensa
11,Stefan Medina ,Rayados,438,Defensa
11,Luis Romo ,Gallos Blancos,438,Defensa
12,Aldo Rocha ,Monarcas,423,Centrocampista
13,Emanuel Aguilera ,América,422,Defensa
13,Luis Quintana ,Pumas,422,Defensa
14,Pablo Aguilar ,Cruz Azul,409,Defensa
15,Unai Bilbao ,Atlético San Luis,403,Defensa
16,Jair Pereira ,Gallos Blancos,402,Defensa
17,Sebastián Vegas ,Monarcas,397,Defensa
18,Bruno Valdez ,América,391,Defensa
