Ranking,Jugador,Equipo,Total,Posicion
1,Rafael Carioca ,Tigres,1221,Centrocampista
2,Guido Pizarro ,Tigres,1211,Centrocampista
3,Hugo Ayala ,Tigres,1045,Defensa
4,Celso Ortiz ,Rayados,1010,Centrocampista
5,Aldo Rocha ,Monarcas,1001,Centrocampista
6,William Tesillo ,León FC,977,Defensa
7,Nicolás Sánchez ,Rayados,962,Defensa
8,Navarro ,León FC,919,Defensa
9,Leonel Miranda ,Xolos,898,Centrocampista
10,Stefan Medina ,Rayados,894,Defensa
11,Yairo Moreno ,León FC,859,Centrocampista
12,Jesús Gallardo ,Rayados,849,Centrocampista
13,Carlos Rodríguez ,Rayados,848,Centrocampista
14,Aboagye ,Gallos Blancos,847,Centrocampista
14,Carlos Salcedo ,Tigres,847,Defensa
15,Luis Romo ,Gallos Blancos,842,Defensa
16,Claudio Baeza ,Necaxa,841,Centrocampista
17,Escoboza ,Gallos Blancos,837,Centrocampista
18,Luis Rodríguez ,Tigres,816,Centrocampista
19,Sambueza ,Pachuca,815,Centrocampista
