Ranking,Jugador,Equipo,Total,Posicion
1,Lajud ,Xolos,8,Portero
2,Rodolfo Cota ,León FC,7,Portero
3,Sebastián Sosa ,Monarcas,6,Portero
3,Jonathan Orozco ,Santos Laguna,6,Portero
3,Camilo Vargas ,Atlas,6,Portero
4,Toño Rodríguez ,Chivas,5,Portero
4,Rodrigo Rey ,Pachuca,5,Portero
5,Talavera ,Toluca,4,Portero
5,Guzmán ,Tigres,4,Portero
6,Nicolás Vikonis ,Puebla,3,Portero
6,Carlos Rodriguez ,Atlético San Luis,3,Portero
6,Hugo González ,Necaxa,3,Portero
6,Corona ,Cruz Azul,3,Portero
6,Sebastián Jurado ,Veracruz,3,Portero
6,Edmundo Vázquez ,Bravos,3,Portero
7,Yarbrough ,León FC,2,Portero
7,Marcelo Barovero ,Rayados,2,Portero
7,Raúl Gudiño ,Chivas,2,Portero
7,Ochoa ,América,2,Portero
7,Alfredo Saldívar ,Pumas,2,Portero
