Ranking,Jugador,Equipo,Total,Posicion
1,José Macías ,León FC,5,Delantero
1,Franco Jara ,Pachuca,5,Delantero
2,Jordan Sierra ,Gallos Blancos,4,Centrocampista
2,Alan Pulido ,Chivas,4,Delantero
2,Julio César ,Santos Laguna,4,Delantero
3,Mario Osuna ,Monarcas,3,Centrocampista
3,Caraglio ,Cruz Azul,3,Delantero
3,Bryan Carrasco ,Veracruz,3,Centrocampista
3,Gignac ,Tigres,3,Delantero
4,Emanuel Aguilera ,América,2,Defensa
4,Osvaldo Martínez ,Atlas,2,Centrocampista
4,Ian González ,Atlético San Luis,2,Delantero
4,Miller Bolaños ,Xolos,2,Centrocampista
4,Alanis ,Chivas,2,Defensa
4,Diego Rolán ,Bravos,2,Delantero
4,Leonel Miranda ,Xolos,2,Centrocampista
4,Nicolás Sánchez ,Rayados,2,Defensa
5,Aldo Rocha ,Monarcas,1,Centrocampista
5,Maximiliano Salas ,Necaxa,1,Delantero
5,Yoshimar Yotún ,Cruz Azul,1,Centrocampista
