Ranking,Jugador,Equipo,Total,Posicion
1,Braghieri ,Xolos,3,Defensa
1,Kevin Álvarez ,Pachuca,3,Delantero
1,Sebastián Vegas ,Monarcas,3,Defensa
1,Luis Hernández ,Toluca,3,Defensa
2,Lajud ,Xolos,2,Portero
2,Ramiro González ,León FC,2,Defensa
2,Pedro Aquino ,León FC,2,Centrocampista
2,Doria ,Santos Laguna,2,Defensa
2,Andrés Mosquera ,León FC,2,Defensa
2,Carlos Salcedo ,Tigres,2,Defensa
2,Nervo ,Atlas,2,Defensa
2,Joaquín Laso ,Atlético San Luis,2,Defensa
2,Miguel Herrera ,León FC,2,Defensa
2,Alexis Peña ,Necaxa,2,Defensa
2,Briseño ,Chivas,2,Defensa
3,Julio Dominguez ,Cruz Azul,1,Defensa
3,Carlos Orrantia ,Santos Laguna,1,Defensa
3,Víctor Velázquez ,Bravos,1,Defensa
3,Carlos Gutiérrez ,Veracruz,1,Defensa
3,Maximiliano Perg ,Puebla,1,Defensa
