Ranking,Jugador,Equipo,Total,Posicion
1,Dorlan Pabón ,Rayados,360,Delantero
2,Brian Lozano ,Santos Laguna,348,Centrocampista
3,Ibarra,América,335,Centrocampista
4,Osvaldo Martínez ,Atlas,325,Centrocampista
5,Roger Martínez ,América,324,Delantero
6,Jesús Gallardo ,Rayados,318,Centrocampista
6,Luis Mendoza ,Monarcas,318,Delantero
7,Alan Mozo ,Pumas,307,Defensa
8,Víctor Malcorra ,Pumas,303,Centrocampista
9,Miller Bolaños ,Xolos,301,Centrocampista
10,Ricardo Chávez ,Necaxa,292,Defensa
11,Sambueza ,Pachuca,288,Centrocampista
12,Matías Catalán ,Atlético San Luis,281,Defensa
13,Escoboza ,Gallos Blancos,276,Centrocampista
14,Juan Delgado ,Necaxa,275,Delantero
15,Rodolfo Pizarro ,Rayados,273,Centrocampista
16,Carlos Orrantia ,Santos Laguna,268,Defensa
17,Luis Reyes ,Atlético San Luis,267,Defensa
18,Erick Castillo ,Santos Laguna,263,Delantero
19,Felipe Pardo ,Toluca,262,Delantero
