Ranking,Jugador,Equipo,Total,Posicion
1,Hugo González ,Necaxa,225,Portero
2,Guzmán ,Tigres,177,Portero
3,Nicolás Vikonis ,Puebla,173,Portero
4,Marcelo Barovero ,Rayados,165,Portero
5,Sebastián Sosa ,Monarcas,163,Portero
6,Guido Rodríguez ,América,160,Centrocampista
7,Fernando Gorriarán ,Santos Laguna,158,Centrocampista
7,Edmundo Vázquez ,Bravos,158,Portero
8,Talavera ,Toluca,157,Portero
9,Celso Ortiz ,Rayados,148,Centrocampista
9,Rodrigo Rey ,Pachuca,148,Portero
10,Rafael Carioca ,Tigres,145,Centrocampista
11,Gil Alcalá ,Gallos Blancos,139,Portero
12,Nicolás Sánchez ,Rayados,137,Defensa
12,Jonathan Orozco ,Santos Laguna,137,Portero
13,Aldo Rocha ,Monarcas,136,Centrocampista
13,Rodolfo Cota ,León FC,136,Portero
14,Alfredo Saldívar ,Pumas,134,Portero
15,Camilo Vargas ,Atlas,130,Portero
16,Jorge Hernández ,Pachuca,129,Centrocampista
