Ranking,Jugador,Equipo,Total,Posicion
1,Roger Martínez ,América,60,Delantero
2,Rodolfo Pizarro ,Rayados,43,Centrocampista
3,Ibarra,América,38,Centrocampista
3,Felipe Pardo ,Toluca,38,Delantero
3,Fabian Castillo ,Gallos Blancos,38,Centrocampista
4,Brian Lozano ,Santos Laguna,37,Centrocampista
5,Alan Mozo ,Pumas,33,Defensa
6,Yairo Moreno ,León FC,30,Centrocampista
7,Isaac Brizuela ,Chivas,29,Centrocampista
7,Erick Castillo ,Santos Laguna,29,Delantero
8,Romário Ibarra ,Pachuca,28,Centrocampista
8,Miller Bolaños ,Xolos,28,Centrocampista
9,Maximiliano Salas ,Necaxa,26,Delantero
9,Maximiliano Meza ,Rayados,26,Centrocampista
9,Edison Flores ,Monarcas,26,Centrocampista
10,Enner Valencia ,Tigres,25,Delantero
11,Juan Delgado ,Necaxa,24,Delantero
11,Luis Rodríguez ,Tigres,24,Centrocampista
11,Aké Arnaud Loba ,Gallos Blancos,24,Delantero
11,Ernesto Vega ,Chivas,24,Delantero
